"MOD13Q1.005" "MOD13A1.005" "MOD13A2.005" "MOD13A3.005" "MOD13C1.005" "MOD13C2.005" "MOD14.005" "MYD14.005" "MOD14A1.005" "MYD14A1.005" "MOD14A2.005" "MYD14A2.005" "MOD12Q1.004" "MCD12Q1.005" "MCD12Q2.005" "MOD12C1.004" "MCD12C1.005" "MOD44B.005" "MCD45A1.005" "MOD09GA.005" "MYD09GA.005" "MOD09GQ.005" "MYD09GQ.005" "MOD09CMG.005" "MYD09CMG.005" "MOD09A1.005" "MYD09A1.005" "MOD09Q1.005" "MYD09Q1.005" "MYD13A1.005" "MYD13A2.005" "MYD13Q1.005" "MYD13A3.005" "MYD13C1.005" "MYD13C2.005" "MOD44W.005" "MOD11_L2.005" "MYD11_L2.005" "MOD11A1.005" "MYD11A1.005" "MOD11A2.005" "MYD11A2.005" "MOD11B1.005" "MYD11B1.005" "MOD11C1.005" "MYD11C1.005" "MOD11C2.005" "MYD11C2.005" "MOD11C3.005" "MYD11C3.005" "MCD15A2.005" "MOD15A2.005" "MYD15A2.005" "MCD15A3.005" "MOD17A2.055" "MYD17A2.005" "MCD43A3.005" "MCD43B3.005" "MCD43C3.005" "MCD43A1.005" "MCD43B1.005" "MCD43C1.005" "MCD43A2.005" "MCD43B2.005" "MCD43C2.005" "MCD43A4.005" "MCD43B4.005" "MCD43C4.005" "MOD09GST.004" "MYD09GST.004" "MOD43C1.004" "MOD43C2.004" "MOD43C3.004" "MOD44A.004" "MOD17A3.055" "MYD17A3.004"
"1" "2000.02.18" "2000.02.18" "2000.02.18" "2000.02.01" "2000.02.18" "2000.02.01" "2000.02.24" "2002.07.04" "2000.02.26" "2002.07.04" "2000.02.26" "2002.07.04" "2001.01.01" "2001.01.01" "2001.01.01" "2001.01.01" "2001.01.01" "2000.03.05" "2000.04.01" "2000.02.24" "2002.07.04" "2000.02.24" "2002.07.04" "2000.02.24" "2002.07.04" "2000.02.18" "2002.07.04" "2000.02.18" "2002.07.04" "2002.07.04" "2002.07.04" "2002.07.04" "2002.07.01" "2002.07.04" "2002.07.01" "2000.02.24" "2000.03.05" "2002.07.04" "2000.03.05" "2002.07.08" "2000.03.05" "2002.07.04" "2000.03.05" "2002.07.08" "2000.03.05" "2002.07.08" "2000.03.05" "2002.07.04" "2000.03.01" "2002.08.01" "2002.07.04" "2000.02.18" "2002.07.04" "2002.07.04" "2000.01.01" "2002.07.04" "2000.02.18" "2000.02.18" "2000.02.18" "2000.02.18" "2000.02.18" "2000.02.18" "2000.02.18" "2000.02.18" "2000.02.18" "2000.02.18" "2000.02.18" "2000.02.18" "2000.02.24" "2002.07.04" "2000.02.24" "2000.02.24" "2000.02.24" "2002.01.01" "2000.01.01" "2002.12.27"
"2" "2000.03.05" "2000.03.05" "2000.03.05" "2000.03.01" "2000.03.05" "2000.03.01" "2000.02.25" "2002.07.05" "2000.03.05" "2002.07.12" "2000.03.05" "2002.07.12" "2002.01.01" "2002.01.01" "2002.01.01" "2002.01.01" "2002.01.01" "2001.03.06" "2000.05.01" "2000.02.25" "2002.07.05" "2000.02.25" "2002.07.05" "2000.02.25" "2002.07.05" "2000.02.26" "2002.07.12" "2000.02.26" "2002.07.12" "2002.07.20" "2002.07.20" "2002.07.20" "2002.08.01" "2002.07.20" "2002.08.01" NA "2000.03.06" "2002.07.05" "2000.03.06" "2002.07.09" "2000.03.13" "2002.07.12" "2000.03.06" "2002.07.09" "2000.03.06" "2002.07.09" "2000.03.13" "2002.07.12" "2000.04.01" "2002.09.01" "2002.07.12" "2000.02.26" "2002.07.12" "2002.07.08" "2000.01.09" "2002.07.12" "2000.02.26" "2000.02.26" "2000.02.26" "2000.02.26" "2000.02.26" "2000.02.26" "2000.02.26" "2000.02.26" "2000.02.26" "2000.02.26" "2000.02.26" "2000.02.26" "2000.02.25" "2002.07.05" "2000.03.05" "2000.03.05" "2000.03.05" "2002.04.07" "2001.01.01" "2003.12.27"
"3" "2000.03.21" "2000.03.21" "2000.03.21" "2000.04.01" "2000.03.21" "2000.04.01" "2000.02.26" "2002.07.06" "2000.03.13" "2002.07.20" "2000.03.13" "2002.07.20" "2003.01.01" "2003.01.01" "2003.01.01" "2003.01.01" "2003.01.01" "2002.03.06" "2000.06.01" "2000.02.26" "2002.07.06" "2000.02.26" "2002.07.06" "2000.02.26" "2002.07.06" "2000.03.05" "2002.07.20" "2000.03.05" "2002.07.20" "2002.08.05" "2002.08.05" "2002.08.05" "2002.09.01" "2002.08.05" "2002.09.01" NA "2000.03.07" "2002.07.06" "2000.03.07" "2002.07.10" "2000.03.21" "2002.07.20" "2000.03.07" "2002.07.10" "2000.03.07" "2002.07.10" "2000.03.21" "2002.07.20" "2000.05.01" "2002.10.01" "2002.07.20" "2000.03.05" "2002.07.20" "2002.07.12" "2000.01.17" "2002.07.20" "2000.03.05" "2000.03.05" "2000.03.05" "2000.03.05" "2000.03.05" "2000.03.05" "2000.03.05" "2000.03.05" "2000.03.05" "2000.03.05" "2000.03.05" "2000.03.05" "2000.02.26" "2002.07.06" "2000.03.21" "2000.03.21" "2000.03.21" "2002.07.12" "2002.01.01" "2004.12.26"
"4" "2000.04.06" "2000.04.06" "2000.04.06" "2000.05.01" "2000.04.06" "2000.05.01" "2000.02.27" "2002.07.07" "2000.03.21" "2002.07.28" "2000.03.21" "2002.07.28" "2004.01.01" "2004.01.01" "2004.01.01" "2004.01.01" "2004.01.01" "2003.03.06" "2000.07.01" "2000.02.27" "2002.07.07" "2000.02.27" "2002.07.07" "2000.02.27" "2002.07.07" "2000.03.13" "2002.07.28" "2000.03.13" "2002.07.28" "2002.08.21" "2002.08.21" "2002.08.21" "2002.10.01" "2002.08.21" "2002.10.01" NA "2000.03.08" "2002.07.07" "2000.03.08" "2002.07.11" "2000.03.29" "2002.07.28" "2000.03.08" "2002.07.11" "2000.03.08" "2002.07.11" "2000.03.29" "2002.07.28" "2000.06.01" "2002.11.01" "2002.07.28" "2000.03.13" "2002.07.28" "2002.07.16" "2000.01.25" "2002.07.28" "2000.03.13" "2000.03.13" "2000.03.13" "2000.03.13" "2000.03.13" "2000.03.13" "2000.03.13" "2000.03.13" "2000.03.13" "2000.03.13" "2000.03.13" "2000.03.13" "2000.02.27" "2002.07.07" "2000.04.06" "2000.04.06" "2000.04.06" "2002.10.16" "2003.01.01" "2005.12.27"
"5" "2000.04.22" "2000.04.22" "2000.04.22" "2000.06.01" "2000.04.22" "2000.06.01" "2000.02.28" "2002.07.08" "2000.03.29" "2002.08.05" "2000.03.29" "2002.08.05" NA "2005.01.01" "2005.01.01" NA "2005.01.01" "2004.03.05" "2000.08.01" "2000.02.28" "2002.07.08" "2000.02.28" "2002.07.08" "2000.02.28" "2002.07.08" "2000.03.21" "2002.08.05" "2000.03.21" "2002.08.05" "2002.09.06" "2002.09.06" "2002.09.06" "2002.11.01" "2002.09.06" "2002.11.01" NA "2000.03.09" "2002.07.08" "2000.03.09" "2002.07.12" "2000.04.06" "2002.08.05" "2000.03.09" "2002.07.12" "2000.03.09" "2002.07.12" "2000.04.06" "2002.08.05" "2000.07.01" "2002.12.01" "2002.08.05" "2000.03.21" "2002.08.05" "2002.07.20" "2000.02.02" "2002.08.05" "2000.03.21" "2000.03.21" "2000.03.21" "2000.03.21" "2000.03.21" "2000.03.21" "2000.03.21" "2000.03.21" "2000.03.21" "2000.03.21" "2000.03.21" "2000.03.21" "2000.02.28" "2002.07.08" "2000.04.22" "2000.04.22" "2000.04.22" NA "2004.01.01" "2006.12.27"
"6" "2000.05.08" "2000.05.08" "2000.05.08" "2000.07.01" "2000.05.08" "2000.07.01" "2000.02.29" "2002.07.09" "2000.04.06" "2002.08.13" "2000.04.06" "2002.08.13" NA "2006.01.01" "2006.01.01" NA "2006.01.01" "2005.03.06" "2000.09.01" "2000.02.29" "2002.07.09" "2000.02.29" "2002.07.09" "2000.02.29" "2002.07.09" "2000.03.29" "2002.08.13" "2000.03.29" "2002.08.13" "2002.09.22" "2002.09.22" "2002.09.22" "2002.12.01" "2002.09.22" "2002.12.01" NA "2000.03.10" "2002.07.09" "2000.03.10" "2002.07.13" "2000.04.14" "2002.08.13" "2000.03.10" "2002.07.13" "2000.03.10" "2002.07.13" "2000.04.14" "2002.08.13" "2000.08.01" "2003.01.01" "2002.08.13" "2000.03.29" "2002.08.13" "2002.07.24" "2000.02.10" "2002.08.13" "2000.03.29" "2000.03.29" "2000.03.29" "2000.03.29" "2000.03.29" "2000.03.29" "2000.03.29" "2000.03.29" "2000.03.29" "2000.03.29" "2000.03.29" "2000.03.29" "2000.02.29" "2002.07.09" "2000.05.08" "2000.05.08" "2000.05.08" NA "2005.01.01" NA
"7" "2000.05.24" "2000.05.24" "2000.05.24" "2000.08.01" "2000.05.24" "2000.08.01" "2000.03.01" "2002.07.10" "2000.04.14" "2002.08.21" "2000.04.14" "2002.08.21" NA "2007.01.01" "2007.01.01" NA "2007.01.01" "2006.03.06" "2000.10.01" "2000.03.01" "2002.07.10" "2000.03.01" "2002.07.10" "2000.03.01" "2002.07.10" "2000.04.06" "2002.08.21" "2000.04.06" "2002.08.21" "2002.10.08" "2002.10.08" "2002.10.08" "2003.01.01" "2002.10.08" "2003.01.01" NA "2000.03.11" "2002.07.10" "2000.03.11" "2002.07.14" "2000.04.22" "2002.08.21" "2000.03.11" "2002.07.14" "2000.03.11" "2002.07.14" "2000.04.22" "2002.08.21" "2000.09.01" "2003.02.01" "2002.08.21" "2000.04.06" "2002.08.21" "2002.07.28" "2000.02.18" "2002.08.21" "2000.04.06" "2000.04.06" "2000.04.06" "2000.04.06" "2000.04.06" "2000.04.06" "2000.04.06" "2000.04.06" "2000.04.06" "2000.04.06" "2000.04.06" "2000.04.06" "2000.03.01" "2002.07.10" "2000.05.24" "2000.05.24" "2000.05.24" NA "2006.01.01" NA
"8" "2000.06.09" "2000.06.09" "2000.06.09" "2000.09.01" "2000.06.09" "2000.09.01" "2000.03.02" "2002.07.11" "2000.04.22" "2002.08.29" "2000.04.22" "2002.08.29" NA "2008.01.01" "2008.01.01" NA "2008.01.01" "2007.03.06" "2000.11.01" "2000.03.02" "2002.07.11" "2000.03.02" "2002.07.11" "2000.03.02" "2002.07.11" "2000.04.14" "2002.08.29" "2000.04.14" "2002.08.29" "2002.10.24" "2002.10.24" "2002.10.24" "2003.02.01" "2002.10.24" "2003.02.01" NA "2000.03.12" "2002.07.11" "2000.03.12" "2002.07.15" "2000.04.30" "2002.08.29" "2000.03.12" "2002.07.15" "2000.03.12" "2002.07.15" "2000.04.30" "2002.08.29" "2000.10.01" "2003.03.01" "2002.08.29" "2000.04.14" "2002.08.29" "2002.08.05" "2000.02.26" "2002.08.29" "2000.04.14" "2000.04.14" "2000.04.14" "2000.04.14" "2000.04.14" "2000.04.14" "2000.04.14" "2000.04.14" "2000.04.14" "2000.04.14" "2000.04.14" "2000.04.14" "2000.03.02" "2002.07.11" "2000.06.09" "2000.06.09" "2000.06.09" NA "2007.01.01" NA
"9" "2000.06.25" "2000.06.25" "2000.06.25" "2000.10.01" "2000.06.25" "2000.10.01" "2000.03.03" "2002.07.12" "2000.04.30" "2002.09.06" "2000.04.30" "2002.09.06" NA "2009.01.01" "2009.01.01" NA "2009.01.01" "2008.03.05" "2000.12.01" "2000.03.03" "2002.07.12" "2000.03.03" "2002.07.12" "2000.03.03" "2002.07.12" "2000.04.22" "2002.09.06" "2000.04.22" "2002.09.06" "2002.11.09" "2002.11.09" "2002.11.09" "2003.03.01" "2002.11.09" "2003.03.01" NA "2000.03.13" "2002.07.12" "2000.03.13" "2002.07.16" "2000.05.08" "2002.09.06" "2000.03.13" "2002.07.16" "2000.03.13" "2002.07.16" "2000.05.08" "2002.09.06" "2000.11.01" "2003.04.01" "2002.09.06" "2000.04.22" "2002.09.06" "2002.08.09" "2000.03.05" "2002.09.06" "2000.04.22" "2000.04.22" "2000.04.22" "2000.04.22" "2000.04.22" "2000.04.22" "2000.04.22" "2000.04.22" "2000.04.22" "2000.04.22" "2000.04.22" "2000.04.22" "2000.03.03" "2002.07.12" "2000.06.25" "2000.06.25" "2000.06.25" NA "2008.01.01" NA
"10" "2000.07.11" "2000.07.11" "2000.07.11" "2000.11.01" "2000.07.11" "2000.11.01" "2000.03.04" "2002.07.13" "2000.05.08" "2002.09.14" "2000.05.08" "2002.09.14" NA NA NA NA NA "2009.03.06" "2001.01.01" "2000.03.04" "2002.07.13" "2000.03.04" "2002.07.13" "2000.03.04" "2002.07.13" "2000.04.30" "2002.09.14" "2000.04.30" "2002.09.14" "2002.11.25" "2002.11.25" "2002.11.25" "2003.04.01" "2002.11.25" "2003.04.01" NA "2000.03.14" "2002.07.13" "2000.03.14" "2002.07.17" "2000.05.16" "2002.09.14" "2000.03.14" "2002.07.17" "2000.03.14" "2002.07.17" "2000.05.16" "2002.09.14" "2000.12.01" "2003.05.01" "2002.09.14" "2000.04.30" "2002.09.14" "2002.08.13" "2000.03.13" "2002.09.14" "2000.04.30" "2000.04.30" "2000.04.30" "2000.04.30" "2000.04.30" "2000.04.30" "2000.04.30" "2000.04.30" "2000.04.30" "2000.04.30" "2000.04.30" "2000.04.30" "2000.03.04" "2002.07.13" "2000.07.11" "2000.07.11" "2000.07.11" NA "2009.01.01" NA
